generation,rank_1,rank_2,swapAccepted
234000,2,3,1
235000,1,2,1
236000,2,4,1
237000,1,2,1
238000,3,4,1
239000,1,4,1
240000,2,4,1
241000,1,3,1
242000,1,3,1
243000,2,3,1
244000,2,4,1
245000,2,4,1
246000,2,4,0
247000,1,3,1
248000,1,2,1
249000,1,2,1
250000,1,2,1
251000,1,4,1
252000,1,3,1
253000,1,4,1
254000,3,4,1
255000,1,4,1
256000,1,4,1
257000,1,4,1
258000,2,4,1
259000,2,3,1
260000,1,2,1
261000,1,4,1
262000,2,3,1
263000,1,3,1
264000,3,4,1
265000,1,3,1
266000,2,3,1
267000,1,4,1
268000,2,4,1
269000,2,4,1
270000,1,3,0
271000,1,4,0
272000,3,4,1
273000,1,3,1
274000,2,4,0
275000,2,4,1
276000,2,3,1
277000,2,3,1
278000,3,4,1
279000,3,4,1
280000,1,2,1
281000,1,2,1
282000,1,3,1
283000,3,4,1
284000,3,4,1
285000,1,4,1
286000,2,4,1
287000,3,4,1
288000,3,4,1
289000,1,2,1
290000,2,3,1
291000,1,3,1
292000,1,4,1
293000,1,4,1
294000,1,2,1
295000,1,3,1
296000,3,4,1
297000,1,2,1
298000,2,4,1
299000,1,2,1
300000,2,3,1
301000,1,2,1
302000,3,4,1
303000,2,3,1
304000,2,4,1
305000,3,4,1
306000,1,4,1
307000,1,3,1
308000,1,4,1
309000,1,3,1
310000,1,2,1
311000,1,4,1
312000,1,3,1
313000,3,4,1
314000,3,4,1
315000,1,3,1
316000,2,3,1
317000,1,3,1
318000,2,3,1
319000,2,4,1
320000,2,3,1
321000,1,4,1
322000,2,4,1
323000,1,2,1
324000,1,4,1
325000,1,4,1
326000,2,4,1
327000,2,4,1
328000,3,4,1
329000,1,2,1
330000,1,2,1
331000,2,4,1
332000,3,4,1
333000,1,4,1
334000,2,3,1
335000,1,4,1
336000,1,3,1
337000,2,4,1
338000,1,4,0
339000,1,3,1
340000,2,4,1
341000,1,3,1
342000,1,4,0
343000,3,4,1
344000,1,2,0
345000,1,4,1
346000,1,3,1
347000,1,3,1
348000,2,4,1
349000,2,3,1
350000,2,3,1
351000,2,4,1
352000,2,3,1
353000,1,2,1
354000,1,2,1
355000,2,3,1
356000,2,3,1
357000,2,3,1
358000,2,3,1
359000,1,3,1
360000,1,2,1
361000,3,4,1
362000,3,4,1
363000,2,4,1
364000,2,3,1
365000,2,4,1
366000,2,4,1
367000,1,2,1
368000,3,4,1
369000,2,3,1
370000,1,2,1
371000,2,4,1
372000,1,4,1
373000,2,3,1
374000,1,2,1
375000,2,3,1
376000,1,3,1
377000,2,3,1
378000,2,3,1
379000,2,3,1
380000,2,3,1
381000,1,4,1
382000,1,2,1
383000,2,4,1
384000,1,4,1
385000,1,3,1
386000,1,4,1
387000,2,3,1
388000,1,2,1
389000,1,3,1
390000,2,3,1
391000,3,4,1
392000,3,4,1
393000,2,4,1
394000,1,3,1
395000,2,3,1
396000,1,3,1
397000,2,3,1
398000,1,2,1
399000,3,4,1
400000,1,3,1
401000,1,4,1
402000,1,2,1
403000,2,3,1
404000,3,4,1
405000,2,4,1
406000,3,4,1
407000,3,4,1
408000,3,4,1
409000,2,4,1
410000,1,3,1
411000,1,2,1
412000,2,4,1
413000,2,3,1
414000,2,3,1
415000,2,3,1
416000,1,3,1
417000,2,4,1
418000,2,3,1
419000,1,2,1
420000,1,4,0
421000,2,3,1
422000,1,3,1
423000,1,3,1
424000,2,3,1
425000,1,2,1
426000,1,4,1
427000,2,3,1
428000,1,4,1
429000,3,4,1
430000,1,2,1
431000,1,2,1
432000,1,2,1
433000,1,2,1
434000,1,4,1
435000,2,3,1
436000,2,4,1
437000,2,4,1
